"submitted_item_move_id","submitted_item_id","move_type","in_knapsack","pos_x","pos_y","time_into_problem"
"196059","45746","1","1","119.519","248.72","91.2136"
"196060","45746","3","0","684.519","356.72","91.9474"
"196071","45746","1","0","684.519","356.72","99.5596"
"196072","45746","3","1","347.519","365.72","101.359"
"196053","45747","1","0","733.26","25.6269","83.1836"
"196054","45747","3","1","29.2605","237.627","83.7994"
"196055","45747","1","1","29.2605","237.627","85.633"
"196056","45747","3","0","725.26","173.627","86.3148"
"196007","45748","1","0","680.962","422.344","14.8264"
"196008","45748","3","0","733.962","362.344","15.0763"
"196035","45748","1","0","733.962","362.344","61.091"
"196036","45748","3","1","209.962","269.344","61.5929"
"196003","45749","1","0","720.893","168.779","10.8453"
"196004","45749","3","1","249.893","337.779","12.111"
"196009","45749","1","1","249.893","337.779","21.2248"
"196010","45749","3","0","625.893","207.779","22.7404"
"196039","45749","1","0","625.893","207.779","63.5084"
"196040","45749","3","0","619.893","230.779","64.6242"
"196065","45749","1","0","619.893","230.779","95.5286"
"196066","45749","3","1","236.893","349.779","95.9784"
"196005","45750","1","0","646.547","382.197","14.3105"
"196006","45750","3","0","647.547","321.197","14.5444"
"196015","45750","1","0","647.547","321.197","32.1541"
"196016","45750","3","0","549.547","340.197","33.5538"
"196001","45751","1","0","675.702","136.29","10.1115"
"196002","45751","3","0","580.702","89.2897","10.4114"
"196011","45751","1","0","580.702","89.2897","24.7899"
"196012","45751","3","1","218.702","88.2897","25.7557"
"196027","45752","1","0","764.803","218.766","54.0107"
"196028","45752","3","1","118.803","265.766","54.6286"
"196033","45752","1","1","118.803","265.766","60.1592"
"196034","45752","3","0","583.803","129.766","60.6091"
"196041","45752","1","0","583.803","129.766","65.058"
"196042","45752","3","0","608.803","122.766","66.2737"
"196048","45752","1","0","608.803","122.766","73.7379"
"196049","45752","2","1","11.8032","213.766","74.2878"
"196050","45752","3","0","497.778","224.288","74.7197"
"196051","45752","1","0","497.778","224.288","75.5535"
"196052","45752","3","0","577.778","118.288","77.0191"
"196067","45752","1","0","577.778","118.288","96.6123"
"196068","45752","3","1","57.7776","209.288","97.1442"
"196073","45752","1","1","57.7776","209.288","105.392"
"196074","45752","3","0","611.778","129.288","105.79"
"196079","45752","1","0","611.778","129.288","109.439"
"196080","45752","3","1","91.7776","219.288","109.989"
"196087","45753","1","0","689.12","116.812","7.78168"
"196088","45753","3","0","689.12","116.812","7.89893"
"196089","45753","1","0","689.12","116.812","14.665"
"196090","45753","3","0","545.12","50.8116","15.5978"
"196085","45755","1","0","725.727","162.02","7.31573"
"196086","45755","3","0","725.727","162.02","7.39844"
"196099","45755","1","0","725.727","162.02","36.7277"
"196100","45755","3","1","176.727","162.02","37.3283"
"196093","45756","1","0","717.047","46.7234","21.1972"
"196094","45756","3","1","190.047","320.723","22.68"
"196103","45757","1","0","874.16","184.367","55.0751"
"196104","45757","3","1","304.16","52.3672","56.3912"
"196105","45757","1","1","304.16","52.3672","56.425"
"196106","45757","3","1","304.16","52.3672","56.5076"
"196107","45757","1","1","304.16","52.3672","61.8582"
"196108","45757","3","0","673.16","257.367","62.1404"
"196111","45757","1","0","673.16","257.367","67.7059"
"196112","45757","3","1","336.16","85.3672","68.1564"
"196117","45757","1","1","336.16","85.3672","81.7373"
