# initial holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,cash,Share,,,,,,,,,,,
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008423,1008402,1008402,1008402,CANCEL,BUY,1,1120,2018-08-14T00:45:58.735,2018-08-14T00:45:58.738
roused-nipper,Surfer5@bmm,4880,342,6224,6224,674,NULL,1008424,1008424,1008424,1008429,LIMIT,BUY,1,1200,2018-08-14T00:46:03.803,2018-08-14T00:46:19.406
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008425,1008425,1008425,1008469,LIMIT,BUY,1,1150,2018-08-14T00:46:06.482,2018-08-14T00:47:00.215
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008426,1008426,1008426,1008473,LIMIT,SELL,1,1260,2018-08-14T00:46:06.901,2018-08-14T00:47:04.160
roused-nipper,Surfer17@bmm,4892,342,6224,6224,674,NULL,1008427,1008427,1008427,1008508,LIMIT,BUY,1,1100,2018-08-14T00:46:09.408,2018-08-14T00:48:12.066
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008428,1008428,1008428,1008485,LIMIT,SELL,1,1230,2018-08-14T00:46:15.744,2018-08-14T00:47:39.950
roused-nipper,Surfer17@bmm,4892,342,6224,6224,674,NULL,1008429,1008429,1008429,1008424,LIMIT,SELL,1,1200,2018-08-14T00:46:19.079,2018-08-14T00:46:19.406
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008430,1008430,1008430,1008445,LIMIT,SELL,1,1260,2018-08-14T00:46:23.212,2018-08-14T00:46:38.647
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008431,1008431,1008431,1008434,LIMIT,BUY,1,1220,2018-08-14T00:46:25.007,2018-08-14T00:46:27.845
roused-nipper,Surfer7@bmm,4882,342,6224,6224,674,NULL,1008432,1008432,1008432,NULL,LIMIT,SELL,1,1230,2018-08-14T00:46:25.764,2018-08-14T00:46:25.798
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008433,1008433,1008433,1008461,LIMIT,BUY,1,1220,2018-08-14T00:46:27.751,2018-08-14T00:46:50.006
roused-nipper,Surfer5@bmm,4880,342,6224,6224,674,NULL,1008434,1008434,1008434,1008431,LIMIT,SELL,1,1220,2018-08-14T00:46:27.840,2018-08-14T00:46:27.845
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008435,1008435,1008435,1008466,LIMIT,BUY,1,1220,2018-08-14T00:46:28.938,2018-08-14T00:46:58.268
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008436,1008436,1008436,1008450,LIMIT,BUY,1,1200,2018-08-14T00:46:30.235,2018-08-14T00:46:43.564
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008437,1008437,1008437,1008467,LIMIT,BUY,1,1220,2018-08-14T00:46:30.288,2018-08-14T00:46:58.480
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008438,1008438,1008438,1008468,LIMIT,BUY,1,1220,2018-08-14T00:46:32.476,2018-08-14T00:46:58.696
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008439,1008439,1008439,1008442,LIMIT,BUY,1,1210,2018-08-14T00:46:32.498,2018-08-14T00:46:38.503
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008440,1008421,1008421,1008421,CANCEL,BUY,1,1170,2018-08-14T00:46:32.628,2018-08-14T00:46:32.632
roused-nipper,Surfer17@bmm,4892,342,6224,6224,674,NULL,1008441,1008441,1008441,1008541,LIMIT,SELL,1,1250,2018-08-14T00:46:33.932,2018-08-14T00:49:03.500
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008442,1008439,1008439,1008439,CANCEL,BUY,1,1210,2018-08-14T00:46:38.496,2018-08-14T00:46:38.502
roused-nipper,Surfer12@bmm,4887,342,6224,6224,674,NULL,1008443,1008398,1008398,1008398,CANCEL,SELL,1,1280,2018-08-14T00:46:38.511,2018-08-14T00:46:38.520
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008444,1008439,1008439,1008444,CANCEL,BUY,1,1210,2018-08-14T00:46:38.528,2018-08-14T00:46:38.531
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008445,1008430,1008430,1008430,CANCEL,SELL,1,1260,2018-08-14T00:46:38.643,2018-08-14T00:46:38.647
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008446,1008439,1008439,1008446,CANCEL,BUY,1,1210,2018-08-14T00:46:38.666,2018-08-14T00:46:38.675
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008447,1008439,1008439,1008447,CANCEL,BUY,1,1210,2018-08-14T00:46:38.747,2018-08-14T00:46:38.750
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008448,1008448,1008448,1008503,LIMIT,SELL,1,1250,2018-08-14T00:46:40.016,2018-08-14T00:48:07.192
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008449,1008449,1008449,NULL,LIMIT,SELL,1,1230,2018-08-14T00:46:42.595,2018-08-14T00:46:42.597
