Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008894,1008894,1008894,1008876,LIMIT,BUY,1,1310,2018-08-14T01:10:34.496,2018-08-14T01:10:34.501
roused-nipper,Surfer12@bmm,4887,344,6226,6226,676,NULL,1008895,1008895,1008895,1008893,LIMIT,SELL,1,1300,2018-08-14T01:10:34.971,2018-08-14T01:10:34.977
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008896,1008896,1008896,0,LIMIT,SELL,1,1250,2018-08-14T01:10:35.547,2018-08-14T01:10:35.554
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008897,1008896,1008896,1008864,LIMIT,SELL,1,1280,2018-08-14T01:10:35.552,2018-08-14T01:10:35.554
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008898,1008898,1008898,0,LIMIT,SELL,1,1250,2018-08-14T01:10:36.211,2018-08-14T01:10:36.217
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008899,1008898,1008898,1008885,LIMIT,SELL,1,1280,2018-08-14T01:10:36.215,2018-08-14T01:10:36.218
roused-nipper,Surfer5@bmm,4880,344,6226,6226,676,NULL,1008900,1008900,1008900,1009040,LIMIT,BUY,1,600,2018-08-14T01:10:38.166,2018-08-14T01:14:38.118
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008901,1008870,1008870,1008870,CANCEL,SELL,1,1330,2018-08-14T01:10:39.477,2018-08-14T01:10:39.480
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008902,1008902,1008902,NULL,LIMIT,SELL,1,1310,2018-08-14T01:10:42.250,2018-08-14T01:10:42.252
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008903,1008903,1008903,NULL,LIMIT,SELL,1,1310,2018-08-14T01:10:43.745,2018-08-14T01:10:43.747
roused-nipper,Surfer20@bmm,4895,344,6226,6226,676,NULL,1008904,1008904,1008904,1008944,LIMIT,BUY,1,1280,2018-08-14T01:10:43.918,2018-08-14T01:11:59.841
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008905,1008905,1008905,1008919,LIMIT,BUY,1,1290,2018-08-14T01:10:46.694,2018-08-14T01:11:15.065
roused-nipper,Surfer8@bmm,4883,344,6226,6226,676,NULL,1008906,1008906,1008906,1008916,LIMIT,BUY,1,1300,2018-08-14T01:10:47.093,2018-08-14T01:11:03.673
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008907,1008907,1008907,1008926,LIMIT,BUY,1,1290,2018-08-14T01:10:47.113,2018-08-14T01:11:33.949
roused-nipper,Surfer8@bmm,4883,344,6226,6226,676,NULL,1008908,1008908,1008908,1008909,LIMIT,BUY,1,1300,2018-08-14T01:10:47.221,2018-08-14T01:10:51.168
roused-nipper,Surfer8@bmm,4883,344,6226,6226,676,NULL,1008909,1008908,1008908,1008908,CANCEL,BUY,1,1300,2018-08-14T01:10:51.164,2018-08-14T01:10:51.167
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008910,1008857,1008857,1008857,CANCEL,BUY,1,1270,2018-08-14T01:10:56.584,2018-08-14T01:10:56.588
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008911,1008911,1008911,1008930,LIMIT,BUY,1,1290,2018-08-14T01:10:57.735,2018-08-14T01:11:37.372
roused-nipper,Surfer3@bmm,4878,344,6226,6226,676,NULL,1008912,1008912,1008912,1008929,LIMIT,BUY,1,1280,2018-08-14T01:10:58.628,2018-08-14T01:11:35.552
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008913,1008848,1008848,1008848,CANCEL,BUY,1,780,2018-08-14T01:11:01.919,2018-08-14T01:11:01.922
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008914,1008848,1008848,1008914,CANCEL,BUY,1,780,2018-08-14T01:11:02.159,2018-08-14T01:11:02.162
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008915,1008915,1008915,1009047,LIMIT,SELL,1,1310,2018-08-14T01:11:02.341,2018-08-14T01:14:51.509
roused-nipper,Surfer5@bmm,4880,344,6226,6226,676,NULL,1008916,1008916,1008916,1008906,LIMIT,SELL,1,1300,2018-08-14T01:11:03.668,2018-08-14T01:11:03.672
roused-nipper,Surfer8@bmm,4883,344,6226,6226,676,NULL,1008917,1008917,1008917,1008954,LIMIT,SELL,1,1310,2018-08-14T01:11:05.966,2018-08-14T01:12:23.582
roused-nipper,Surfer11@bmm,4886,344,6226,6226,676,NULL,1008918,1008918,1008918,1009061,LIMIT,BUY,1,980,2018-08-14T01:11:09.408,2018-08-14T01:15:11.596
roused-nipper,Surfer5@bmm,4880,344,6226,6226,676,NULL,1008919,1008919,1008919,1008905,LIMIT,SELL,1,1290,2018-08-14T01:11:15.060,2018-08-14T01:11:15.065
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008920,1008920,1008920,1008925,LIMIT,BUY,1,1300,2018-08-14T01:11:18.652,2018-08-14T01:11:32.108
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008921,1008921,1008921,1008923,LIMIT,BUY,1,1300,2018-08-14T01:11:19.597,2018-08-14T01:11:31.191
roused-nipper,Surfer3@bmm,4878,344,6226,6226,676,NULL,1008922,1008922,1008922,1008955,LIMIT,SELL,1,1310,2018-08-14T01:11:22.822,2018-08-14T01:12:26.800
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008923,1008921,1008921,1008921,CANCEL,BUY,1,1300,2018-08-14T01:11:31.187,2018-08-14T01:11:31.190
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008924,1008921,1008921,1008924,CANCEL,BUY,1,1300,2018-08-14T01:11:31.431,2018-08-14T01:11:31.435
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008925,1008920,1008920,1008920,CANCEL,BUY,1,1300,2018-08-14T01:11:32.104,2018-08-14T01:11:32.108
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008926,1008926,1008926,1008907,LIMIT,SELL,1,1290,2018-08-14T01:11:33.944,2018-08-14T01:11:33.949
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008927,1008927,1008927,1008932,LIMIT,BUY,1,1290,2018-08-14T01:11:34.782,2018-08-14T01:11:40.857
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008928,1008928,1008928,1008933,LIMIT,BUY,1,1290,2018-08-14T01:11:35.412,2018-08-14T01:11:41.859
roused-nipper,Surfer3@bmm,4878,344,6226,6226,676,NULL,1008929,1008912,1008912,1008912,CANCEL,BUY,1,1280,2018-08-14T01:11:35.548,2018-08-14T01:11:35.552
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008930,1008930,1008930,1008911,LIMIT,SELL,1,1290,2018-08-14T01:11:37.367,2018-08-14T01:11:37.372
roused-nipper,Surfer3@bmm,4878,344,6226,6226,676,NULL,1008931,1008931,1008931,1008936,LIMIT,BUY,1,1290,2018-08-14T01:11:39.778,2018-08-14T01:11:45.795
roused-nipper,Surfer5@bmm,4880,344,6226,6226,676,NULL,1008932,1008932,1008932,1008927,LIMIT,SELL,1,1290,2018-08-14T01:11:40.852,2018-08-14T01:11:40.857
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008933,1008933,1008933,1008928,LIMIT,SELL,1,1290,2018-08-14T01:11:41.854,2018-08-14T01:11:41.858
